invoice_id,invoice_date,due_date,actual_payment_date,customer_name,city,risk_category,product_category,payment_terms_days,invoice_amount,paid_amount,outstanding,days_overdue,aging_bucket,status,credit_limit,credit_utilization,outstanding_ratio,is_high_risk
INV-03877,2022-04-01,2022-05-31,2022-07-19,NutriGo Stores,Hyderabad,Low Risk,Casein Blend,60,9698.05,0.0,9698.05,49,31-60 days,Overdue,145000,0.0669,0.9999,0
INV-01191,2022-04-01,2022-05-01,2022-09-04,Protein World Ltd,Mumbai,High Risk,Creatine,30,14276.79,0.0,14276.79,126,90+ days,Overdue,95000,0.1503,0.9999,1
INV-02640,2022-04-01,2022-05-01,2022-05-01,VitaWell Distributors,Ahmedabad,Low Risk,Soy Isolate,30,51092.72,51092.72,0.0,0,Current,Paid,190000,0.2689,0.0,0
INV-03180,2022-04-01,2022-05-16,2022-05-16,ProHealth Wholesale,Pune,Low Risk,BCAA,45,26318.26,26318.26,0.0,0,Current,Paid,130000,0.2024,0.0,0
INV-02226,2022-04-01,2022-04-16,2022-04-16,SportsFuel India,Mumbai,High Risk,Plant Protein,15,7611.76,7611.76,0.0,0,Current,Paid,80000,0.0951,0.0,0
INV-01072,2022-04-01,2022-05-01,2022-08-08,Protein World Ltd,Mumbai,High Risk,Whey Protein,30,9881.9,0.0,9881.9,99,90+ days,Overdue,95000,0.104,0.9999,1
INV-03516,2022-04-02,2022-04-17,2022-07-09,BodyBuild Dist,Delhi,High Risk,BCAA,15,28157.21,0.0,28157.21,83,61-90 days,Overdue,165000,0.1706,1.0,1
INV-02932,2022-04-02,2022-05-02,2022-05-06,MuscleZone Retail,Chennai,High Risk,Mass Gainer,30,12242.07,12242.07,0.0,0,Current,Paid,55000,0.2226,0.0,0
INV-05215,2022-04-02,2022-05-02,2022-05-06,FitZone Wholesale,Indore,Medium Risk,Plant Protein,30,17338.5,17338.5,0.0,0,Current,Paid,125000,0.1387,0.0,0
INV-01685,2022-04-02,2022-05-02,2022-05-06,HealthHub Retail,Chennai,High Risk,Casein Blend,30,38935.59,38935.59,0.0,0,Current,Paid,210000,0.1854,0.0,0
INV-03363,2022-04-02,2022-05-17,2022-05-17,FuelUp Nutrition,Mumbai,Medium Risk,BCAA,45,11344.13,11344.13,0.0,0,Current,Paid,85000,0.1335,0.0,0
INV-05645,2022-04-03,2022-05-03,2022-05-03,SupremeNutrition,Coimbatore,Medium Risk,Casein Blend,30,27605.6,27605.6,0.0,0,Current,Paid,115000,0.24,0.0,0
INV-05065,2022-04-03,2022-05-18,2022-05-18,FitZone Wholesale,Indore,Medium Risk,Casein Blend,45,16499.72,16499.72,0.0,0,Current,Paid,125000,0.132,0.0,0
INV-01196,2022-04-03,2022-05-03,2022-07-14,Protein World Ltd,Mumbai,High Risk,BCAA,30,26334.65,11507.73,14826.92,72,61-90 days,Partially Paid,95000,0.2772,0.563,1
INV-05145,2022-04-04,2022-05-04,2022-05-04,FitZone Wholesale,Indore,Medium Risk,Mass Gainer,30,11458.56,11458.56,0.0,0,Current,Paid,125000,0.0917,0.0,0
INV-05796,2022-04-04,2022-05-04,2022-05-08,SupremeNutrition,Coimbatore,Medium Risk,Collagen,30,26328.19,26328.19,0.0,0,Current,Paid,115000,0.2289,0.0,0
INV-05013,2022-04-05,2022-06-04,2022-06-07,NutriCare Plus,Nagpur,Low Risk,Casein Blend,60,9145.14,9145.14,0.0,0,Current,Paid,155000,0.059,0.0,0
INV-04688,2022-04-05,2022-05-05,2022-05-24,ProZone India,Lucknow,High Risk,Soy Isolate,30,6249.13,0.0,6249.13,19,1-30 days,Overdue,60000,0.1042,0.9998,0
INV-02585,2022-04-05,2022-05-05,2022-05-07,VitaWell Distributors,Ahmedabad,Low Risk,BCAA,30,20985.07,20985.07,0.0,0,Current,Paid,190000,0.1104,0.0,0
INV-05089,2022-04-05,2022-05-20,2022-05-24,FitZone Wholesale,Indore,Medium Risk,Creatine,45,15076.18,15076.18,0.0,0,Current,Paid,125000,0.1206,0.0,0
INV-04950,2022-04-06,2022-05-21,2022-05-21,NutriCare Plus,Nagpur,Low Risk,Mass Gainer,45,12818.35,12818.35,0.0,0,Current,Paid,155000,0.0827,0.0,0
INV-02598,2022-04-06,2022-05-21,2022-05-21,VitaWell Distributors,Ahmedabad,Low Risk,Casein Blend,45,21218.4,21218.4,0.0,0,Current,Paid,190000,0.1117,0.0,0
INV-03966,2022-04-06,2022-05-21,2022-05-23,PeakPerform Co,Mumbai,Medium Risk,Casein Blend,45,5231.39,5231.39,0.0,0,Current,Paid,90000,0.0581,0.0,0
INV-05235,2022-04-06,2022-05-06,2022-05-06,FitZone Wholesale,Indore,Medium Risk,Creatine,30,24780.68,24780.68,0.0,0,Current,Paid,125000,0.1982,0.0,0
INV-01533,2022-04-06,2022-05-21,2022-06-10,NutriMax Wholesale,Bangalore,Medium Risk,Mass Gainer,45,24573.61,0.0,24573.61,20,1-30 days,Overdue,140000,0.1755,1.0,0
INV-05048,2022-04-06,2022-05-21,2022-05-24,NutriCare Plus,Nagpur,Low Risk,Collagen,45,39626.12,39626.12,0.0,0,Current,Paid,155000,0.2557,0.0,0
INV-02372,2022-04-06,2022-05-06,2022-05-07,PowerFit Stores,Delhi,Medium Risk,Plant Protein,30,17065.91,17065.91,0.0,0,Current,Paid,195000,0.0875,0.0,0
INV-05692,2022-04-07,2022-05-22,2022-05-24,SupremeNutrition,Coimbatore,Medium Risk,Creatine,45,6130.76,6130.76,0.0,0,Current,Paid,115000,0.0533,0.0,0
INV-04896,2022-04-07,2022-05-07,2022-05-07,NutriCare Plus,Nagpur,Low Risk,Soy Isolate,30,15670.9,15670.9,0.0,0,Current,Paid,155000,0.1011,0.0,0
INV-01852,2022-04-07,2022-05-07,2022-05-07,GymPro Supplements,Pune,Medium Risk,Soy Isolate,30,13524.42,13524.42,0.0,0,Current,Paid,75000,0.1803,0.0,0
INV-02737,2022-04-07,2022-05-07,2022-05-08,ActiveLife Co,Bangalore,Medium Risk,Soy Isolate,30,23174.5,23174.5,0.0,0,Current,Paid,100000,0.2317,0.0,0
