text,label
"Subject: Urgent Order from Electronics Trading Point
Order Ref: EVO-PO-6074
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Fingerprint Scanner Module | Quantity: 4550 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Electronics Trading Point",Trading
"Order No: PUR-8416
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 4099 units of ""Logistics Service Agreement"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-8512
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 4830 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Logistics Hub Delta, Hyderabad
Order No: PUR-1329
Please process for Logistics Hub Delta, Hyderabad:
- Dispatch Logistics Route Plan (Part Number: ID-825) - Qty: 1442
Regards, Factory Coordinator",Distribution
"Subject: Urgent Order from Zenith Trading Co.
Order Ref: EVO-PO-9395
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Handheld POS Terminal | Quantity: 3118 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Zenith Trading Co.",Trading
"Subject: Production Materials for Chennai Regional Warehouse (SR-04)
Order No: PUR-9550
Please process for Chennai Regional Warehouse (SR-04):
- Logistics Service Agreement (Part Number: ID-635) - Qty: 2015
Regards, Factory Coordinator",Distribution
"Greetings from Trading Partners Ltd..
Order Details: EVO-PO-1534
*Product Details*
- *Product Name:* Handheld POS Terminal
- *Quantity:* 4111 units
- *Product Name:* Handheld POS Terminal
- *Quantity:* 1560 units
Delivery: Electronics Mall Hub, Delhi
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Trading Partners Ltd.",Trading
"Subject: Urgent Order from Trading Partners Ltd.
Order Ref: EVO-PO-9674
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Mobile POS (mPOS) Device | Quantity: 4818 units
Delivery Address: Electronics Mall Hub, Delhi
Best, Procurement Manager Trading Partners Ltd.",Trading
"Order No: PUR-2750
Subject: Regional Stock Replenishment for Sector 18, Pune
This is a purchase request for 4916 units of ""Iron Plates (Part ID: IP-5521)"".
Shipping Address: Sector 18, Pune
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Subject: Urgent Order from Logistics Delta Hub
Order Ref: PUR-8809
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Dairy Milk Packs | Quantity: 4121 units
Delivery Address: Logistics Hub Delta, Hyderabad
Best, Procurement Manager Logistics Delta Hub",Distribution
"Greetings from Plant 1, Pune.
Order Details: PUR-4014
*Product Details*
- *Product Name:* Machine Bolts - Grade 8
- *Quantity:* 2290 units
- *Product Name:* Industrial Gear Shaft
- *Quantity:* 84 units
Delivery: Unit 4, Chakan MIDC, Plant 1
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Plant 1, Pune",Manufacturing
"Subject: Urgent Order from Plant 1, Pune
Order Ref: PUR-1745
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Hydraulic Cylinder Mount | Quantity: 2068 units
Delivery Address: Manufacturing Hub, Mumbai
Best, Procurement Manager Plant 1, Pune",Manufacturing
"Subject: Urgent Order from Southern Region Warehouse
Order Ref: PUR-6750
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Bulk Shipping Container Hub | Quantity: 4271 units
Delivery Address: Fulfillment Center Omega, Chennai
Best, Procurement Manager Southern Region Warehouse",Distribution
"Order No: PUR-4848
Subject: Regional Stock Replenishment for Unit 4, Chakan MIDC, Plant 1
This is a purchase request for 4337 units of ""Machine Bolts (Part ID: MB-7741)"".
Shipping Address: Unit 4, Chakan MIDC, Plant 1
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Greetings from Zenith Trading Co..
Order Details: EVO-PO-1243
*Product Details*
- *Product Name:* iPhone 15 Pro Max
- *Quantity:* 2514 units
- *Product Name:* POS Payment Terminal
- *Quantity:* 1322 units
Delivery: Warehouse, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Zenith Trading Co.",Trading
"Order No: PUR-9611
Subject: Regional Stock Replenishment for Manufacturing Hub, Mumbai
This is a purchase request for 847 units of ""Machine Bolts (Part ID: MB-7741)"".
Shipping Address: Manufacturing Hub, Mumbai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Manufacturing
"Greetings from Chakan MIDC Factory.
Order Details: PUR-3120
*Product Details*
- *Product Name:* Pneumatic Valve Assembly
- *Quantity:* 858 units
- *Product Name:* Hydraulic Cylinder Mount
- *Quantity:* 375 units
Delivery: Manufacturing Hub, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Chakan MIDC Factory",Manufacturing
"Greetings from Plant 1, Pune.
Order Details: PUR-6629
*Product Details*
- *Product Name:* Iron Plates (Part ID: IP-5521)
- *Quantity:* 3568 units
- *Product Name:* Machine Bolts (Part ID: MB-7741)
- *Quantity:* 1659 units
Delivery: Manufacturing Hub, Mumbai
Payment Terms: 30 Days Credit.
Regards, Rahul Mehta, Plant 1, Pune",Manufacturing
"Subject: Production Materials for Chennai Regional Warehouse (SR-04)
Order No: PUR-5709
Please process for Chennai Regional Warehouse (SR-04):
- Regional Hub Supply (Part Number: ID-798) - Qty: 2381
Regards, Factory Coordinator",Distribution
"Subject: Urgent Order from Electronics Trading Point
Order Ref: EVO-PO-7363
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Smart Banking Kiosk | Quantity: 1793 units
Delivery Address: Warehouse, Mumbai
Best, Procurement Manager Electronics Trading Point",Trading
"Order No: PUR-5789
Subject: Regional Stock Replenishment for Logistics Hub Delta, Hyderabad
This is a purchase request for 3004 units of ""Dairy Milk Packs"".
Shipping Address: Logistics Hub Delta, Hyderabad
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Order No: PUR-5242
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 4894 units of ""Dispatch Logistics Route Plan"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Production Materials for Sector 18, Pune
Order No: PUR-8839
Please process for Sector 18, Pune:
- Forged Steel Crankshaft Assembly (Part Number: ID-780) - Qty: 170
Regards, Factory Coordinator",Manufacturing
"Order No: PUR-8384
Subject: Regional Stock Replenishment for Fulfillment Center Omega, Chennai
This is a purchase request for 4668 units of ""Bulk Shipping Container Hub"".
Shipping Address: Fulfillment Center Omega, Chennai
Dispatch within 48 hours for bulk distribution.
Regards, Inventory Manager",Distribution
"Subject: Urgent Order from Chakan MIDC Factory
Order Ref: PUR-4081
We would like to place an order for the following ready stock from Evolute.
Items:
* Product Name: Machine Bolts (Part ID: MB-7741) | Quantity: 3767 units
Delivery Address: Sector 18, Pune
Best, Procurement Manager Chakan MIDC Factory",Manufacturing
