text,category
"Purchase Order: PUR-90694 - Conveyor Belt

Dear Sir/Madam,
Attached is our formal requirement for the current month.

Purchase Order No: PUR-90694
Order Date: 01-Apr-2026

Goods Name: Conveyor Belt
Quantity: 4975 units

Delivery Location: Regional Distribution Center, Nagpur

Regards,
Procurement Team
",Distribution
"Purchase Order: PO-2026-73408 - Aluminum Sheet

Greetings,
We would like to place an order for the following items.

Purchase Order No: PO-2026-73408
Order Date: 20-Apr-2026

Goods Name: Aluminum Sheet
Quantity: 1470 units

Delivery Location: Hosur Production Unit

Regards,
Procurement Team
",Manufacturing
"Purchase Order: PUR-59229 - Brake Pad Assembly

Hello Team,
Please find our purchase order details below.

Purchase Order No: PUR-59229
Order Date: 08-May-2026

Goods Name: Brake Pad Assembly
Quantity: 1475 units

Delivery Location: Central Warehouse, Hyderabad

Regards,
Procurement Team
",Distribution
"Purchase Order: ORD-44311 - Power Supply Unit

Dear Sir/Madam,
We would like to place an order for the following items.

Purchase Order No: ORD-44311
Order Date: 01-May-2026

Goods Name: Power Supply Unit
Quantity: 1374 units

Delivery Location: State Logistics Park, Indore

Regards,
Procurement Team
",Distribution
"Purchase Order: EVO-44294 - Copper Wire

Greetings,
We are pleased to issue this purchase order as per our recent discussion.

Purchase Order No: EVO-44294
Order Date: 11-Jun-2026

Goods Name: Copper Wire
Quantity: 1462 units

Delivery Location: Regional Distribution Center, Nagpur

Regards,
Procurement Team
",Distribution
"Purchase Order: PO-2026-29000 - Brake Pad Assembly

To the Sales Department,
Kindly process the following order at the earliest.

Purchase Order No: PO-2026-29000
Order Date: 28-Jun-2026

Goods Name: Brake Pad Assembly
Quantity: 1282 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: ORD-10814 - Brake Pad Assembly

Dear Sir/Madam,
Please find our purchase order details below.

Purchase Order No: ORD-10814
Order Date: 28-May-2026

Goods Name: Brake Pad Assembly
Quantity: 720 units

Delivery Location: Bawal Manufacturing Hub

Regards,
Procurement Team
",Manufacturing
"Purchase Order: EVO-98600 - Plastic Pellets

Hello Team,
We would like to place an order for the following items.

Purchase Order No: EVO-98600
Order Date: 04-Jun-2026

Goods Name: Plastic Pellets
Quantity: 3626 units

Delivery Location: Logistics Terminal, Kochi

Regards,
Procurement Team
",Distribution
"Purchase Order: EVO-81852 - Hydraulic Pump

Hello Team,
We are pleased to issue this purchase order as per our recent discussion.

Purchase Order No: EVO-81852
Order Date: 24-Jun-2026

Goods Name: Hydraulic Pump
Quantity: 772 units

Delivery Location: Oragadam Factory, Chennai

Regards,
Procurement Team
",Manufacturing
"Purchase Order: ORD-92984 - Brake Pad Assembly

To the Sales Department,
Kindly process the following order at the earliest.

Purchase Order No: ORD-92984
Order Date: 15-Apr-2026

Goods Name: Brake Pad Assembly
Quantity: 2046 units

Delivery Location: Last-Mile Delivery Depot, Kolkata

Regards,
Procurement Team
",Distribution
"Purchase Order: PUR-17497 - Conveyor Belt

To the Sales Department,
We would like to place an order for the following items.

Purchase Order No: PUR-17497
Order Date: 08-May-2026

Goods Name: Conveyor Belt
Quantity: 3449 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: PUR-70225 - Industrial Sensor

Hello Team,
Please find our purchase order details below.

Purchase Order No: PUR-70225
Order Date: 09-Jun-2026

Goods Name: Industrial Sensor
Quantity: 1302 units

Delivery Location: State Logistics Park, Indore

Regards,
Procurement Team
",Distribution
"Purchase Order: ORD-20254 - Power Supply Unit

Hi,
Kindly process the following order at the earliest.

Purchase Order No: ORD-20254
Order Date: 09-May-2026

Goods Name: Power Supply Unit
Quantity: 354 units

Delivery Location: Chakan Industrial Area, Phase II

Regards,
Procurement Team
",Manufacturing
"Purchase Order: PUR-53699 - Engine Control Unit

To the Sales Department,
Attached is our formal requirement for the current month.

Purchase Order No: PUR-53699
Order Date: 21-Jun-2026

Goods Name: Engine Control Unit
Quantity: 3857 units

Delivery Location: Harbour View Trade Zone

Regards,
Procurement Team
",Trading
"Purchase Order: PO-2026-99196 - Transmission Gear

Hi,
Please find our purchase order details below.

Purchase Order No: PO-2026-99196
Order Date: 10-May-2026

Goods Name: Transmission Gear
Quantity: 291 units

Delivery Location: Last-Mile Delivery Depot, Kolkata

Regards,
Procurement Team
",Distribution
"Purchase Order: PO-2026-70769 - Steel Coil

Greetings,
We would like to place an order for the following items.

Purchase Order No: PO-2026-70769
Order Date: 28-Apr-2026

Goods Name: Steel Coil
Quantity: 4089 units

Delivery Location: Hub & Spoke Center, Lucknow

Regards,
Procurement Team
",Distribution
"Purchase Order: PUR-50825 - Industrial Sensor

Hello Team,
We would like to place an order for the following items.

Purchase Order No: PUR-50825
Order Date: 09-May-2026

Goods Name: Industrial Sensor
Quantity: 3915 units

Delivery Location: Last-Mile Delivery Depot, Kolkata

Regards,
Procurement Team
",Distribution
"Purchase Order: ORD-92714 - Aluminum Sheet

Greetings,
We would like to place an order for the following items.

Purchase Order No: ORD-92714
Order Date: 07-Jun-2026

Goods Name: Aluminum Sheet
Quantity: 3165 units

Delivery Location: Regional Distribution Center, Nagpur

Regards,
Procurement Team
",Distribution
"Purchase Order: ORD-75610 - Power Supply Unit

Greetings,
We would like to place an order for the following items.

Purchase Order No: ORD-75610
Order Date: 19-May-2026

Goods Name: Power Supply Unit
Quantity: 3338 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: PUR-67068 - Industrial Sensor

Hi,
We would like to place an order for the following items.

Purchase Order No: PUR-67068
Order Date: 23-May-2026

Goods Name: Industrial Sensor
Quantity: 2442 units

Delivery Location: City Wholesalers Market, Delhi

Regards,
Procurement Team
",Trading
"Purchase Order: EVO-77363 - Engine Control Unit

Hi,
Please find our purchase order details below.

Purchase Order No: EVO-77363
Order Date: 09-Apr-2026

Goods Name: Engine Control Unit
Quantity: 2692 units

Delivery Location: Central Warehouse, Hyderabad

Regards,
Procurement Team
",Distribution
"Purchase Order: PO-2026-50254 - Power Supply Unit

Hello Team,
Please find our purchase order details below.

Purchase Order No: PO-2026-50254
Order Date: 18-Jun-2026

Goods Name: Power Supply Unit
Quantity: 4573 units

Delivery Location: Logistics Terminal, Kochi

Regards,
Procurement Team
",Distribution
"Purchase Order: EVO-75472 - LED Driver

To the Sales Department,
Attached is our formal requirement for the current month.

Purchase Order No: EVO-75472
Order Date: 22-Jun-2026

Goods Name: LED Driver
Quantity: 702 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: PUR-15751 - Transmission Gear

Hello Team,
Please find our purchase order details below.

Purchase Order No: PUR-15751
Order Date: 09-Jun-2026

Goods Name: Transmission Gear
Quantity: 4354 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: PUR-50514 - Brake Pad Assembly

Hello Team,
Attached is our formal requirement for the current month.

Purchase Order No: PUR-50514
Order Date: 06-Apr-2026

Goods Name: Brake Pad Assembly
Quantity: 1691 units

Delivery Location: Oragadam Factory, Chennai

Regards,
Procurement Team
",Manufacturing
"Purchase Order: PO-2026-95642 - Power Supply Unit

Hi,
We are pleased to issue this purchase order as per our recent discussion.

Purchase Order No: PO-2026-95642
Order Date: 23-May-2026

Goods Name: Power Supply Unit
Quantity: 1198 units

Delivery Location: Global Trade Center, Mumbai

Regards,
Procurement Team
",Trading
"Purchase Order: ORD-74036 - LED Driver

Dear Sir/Madam,
We would like to place an order for the following items.

Purchase Order No: ORD-74036
Order Date: 26-Jun-2026

Goods Name: LED Driver
Quantity: 222 units

Delivery Location: Metro Trading Point

Regards,
Procurement Team
",Trading
"Purchase Order: EVO-48244 - Plastic Pellets

Greetings,
Kindly process the following order at the earliest.

Purchase Order No: EVO-48244
Order Date: 24-May-2026

Goods Name: Plastic Pellets
Quantity: 3050 units

Delivery Location: Logistics Terminal, Kochi

Regards,
Procurement Team
",Distribution
"Purchase Order: ORD-21144 - Engine Control Unit

Hello Team,
We are pleased to issue this purchase order as per our recent discussion.

Purchase Order No: ORD-21144
Order Date: 11-May-2026

Goods Name: Engine Control Unit
Quantity: 3383 units

Delivery Location: Metro Trading Point

Regards,
Procurement Team
",Trading
"Purchase Order: PUR-37812 - Brake Pad Assembly

Hi,
Kindly process the following order at the earliest.

Purchase Order No: PUR-37812
Order Date: 01-Jun-2026

Goods Name: Brake Pad Assembly
Quantity: 1753 units

Delivery Location: E-commerce Logistics Hub, Bhiwandi

Regards,
Procurement Team
",Distribution
"Purchase Order: EVO-86964 - Bearing Kit

Hello Team,
Attached is our formal requirement for the current month.

Purchase Order No: EVO-86964
Order Date: 06-Apr-2026

Goods Name: Bearing Kit
Quantity: 170 units

Delivery Location: State Logistics Park, Indore

Regards,
Procurement Team
",Distribution
"Purchase Order: PO-2026-95165 - Sealing O-Ring

Greetings,
Attached is our formal requirement for the current month.

Purchase Order No: PO-2026-95165
Order Date: 01-Jun-2026

Goods Name: Sealing O-Ring
Quantity: 3089 units

Delivery Location: Metro Trading Point

Regards,
Procurement Team
",Trading
"Purchase Order: EVO-57383 - Transmission Gear

Hello Team,
We are pleased to issue this purchase order as per our recent discussion.

Purchase Order No: EVO-57383
Order Date: 27-Jun-2026

Goods Name: Transmission Gear
Quantity: 3850 units

Delivery Location: State Logistics Park, Indore

Regards,
Procurement Team
",Distribution
